tm_fc,tm_ef,ta_min,ta_max
202302070600,202302100000,2.0,8.0
202302070600,202302110000,0.0,9.0
202302070600,202302120000,0.0,9.0
202302070600,202302130000,2.0,7.0
202302070600,202302140000,-4.0,3.0
202302070600,202302150000,-5.0,4.0
202302070600,202302160000,-5.0,5.0
202302070600,202302170000,-1.0,6.0
202302071800,202302100000,2.0,8.0
202302071800,202302110000,0.0,10.0
202302071800,202302120000,0.0,9.0
202302071800,202302130000,2.0,8.0
202302071800,202302140000,-4.0,3.0
202302071800,202302150000,-5.0,3.0
202302071800,202302160000,-5.0,5.0
202302071800,202302170000,-2.0,6.0
202302080600,202302110000,0.0,10.0
202302080600,202302120000,0.0,9.0
202302080600,202302130000,2.0,8.0
202302080600,202302140000,-3.0,3.0
202302080600,202302150000,-5.0,3.0
202302080600,202302160000,-5.0,4.0
202302080600,202302170000,-3.0,6.0
202302080600,202302180000,-2.0,7.0
202302081800,202302110000,0.0,10.0
202302081800,202302120000,0.0,10.0
202302081800,202302130000,2.0,9.0
202302081800,202302140000,-2.0,4.0
202302081800,202302150000,-6.0,3.0
202302081800,202302160000,-5.0,4.0
202302081800,202302170000,-3.0,6.0
202302081800,202302180000,-2.0,7.0
202302090600,202302120000,0.0,10.0
202302090600,202302130000,2.0,9.0
202302090600,202302140000,-2.0,4.0
202302090600,202302150000,-6.0,5.0
202302090600,202302160000,-5.0,4.0
202302090600,202302170000,-3.0,6.0
202302090600,202302180000,-2.0,7.0
202302090600,202302190000,-1.0,7.0
202302091800,202302120000,0.0,10.0
202302091800,202302130000,2.0,9.0
202302091800,202302140000,-2.0,4.0
202302091800,202302150000,-5.0,5.0
202302091800,202302160000,-4.0,5.0
202302091800,202302170000,-3.0,6.0
202302091800,202302180000,-2.0,7.0
202302091800,202302190000,-1.0,7.0
202302100600,202302130000,2.0,9.0
202302100600,202302140000,-2.0,5.0
202302100600,202302150000,-3.0,6.0
202302100600,202302160000,-3.0,5.0
202302100600,202302170000,-3.0,6.0
202302100600,202302180000,-1.0,7.0
202302100600,202302190000,-1.0,7.0
202302100600,202302200000,-2.0,7.0
202302101800,202302130000,3.0,10.0
202302101800,202302140000,-2.0,5.0
202302101800,202302150000,-3.0,6.0
202302101800,202302160000,-2.0,5.0
202302101800,202302170000,-3.0,6.0
202302101800,202302180000,-1.0,7.0
202302101800,202302190000,-1.0,7.0
202302101800,202302200000,-2.0,7.0
202302110600,202302140000,-1.0,6.0
202302110600,202302150000,-2.0,7.0
202302110600,202302160000,-2.0,6.0
202302110600,202302170000,-2.0,6.0
202302110600,202302180000,-1.0,8.0
202302110600,202302190000,0.0,7.0
202302110600,202302200000,-1.0,6.0
202302110600,202302210000,-1.0,7.0
202302111800,202302140000,-1.0,6.0
202302111800,202302150000,-2.0,7.0
202302111800,202302160000,-2.0,6.0
202302111800,202302170000,-2.0,6.0
202302111800,202302180000,-1.0,8.0
202302111800,202302190000,0.0,7.0
202302111800,202302200000,-1.0,6.0
202302111800,202302210000,-1.0,7.0
202302120600,202302150000,-2.0,7.0
202302120600,202302160000,-2.0,5.0
202302120600,202302170000,-2.0,7.0
202302120600,202302180000,0.0,8.0
202302120600,202302190000,0.0,7.0
202302120600,202302200000,-2.0,5.0
202302120600,202302210000,-3.0,7.0
202302120600,202302220000,0.0,8.0
202302121800,202302150000,-2.0,7.0
202302121800,202302160000,-2.0,5.0
202302121800,202302170000,-2.0,7.0
202302121800,202302180000,0.0,8.0
202302121800,202302190000,0.0,7.0
202302121800,202302200000,-2.0,5.0
202302121800,202302210000,-3.0,7.0
202302121800,202302220000,0.0,8.0
